Iter 119, Training Accuracy: 0.9613333255052566, Training Loss: 0.51525211147964, Testing Accuracy: 0.9619999974966049, Testing Loss: 0.5207379879429936
Iter 120, Training Accuracy: 0.9659999966621399, Training Loss: 0.44358611945062876, Testing Accuracy: 0.9683333337306976, Testing Loss: 0.4156085343565792
Iter 121, Training Accuracy: 0.9629999965429306, Training Loss: 0.47662175726145506, Testing Accuracy: 0.964000004529953, Testing Loss: 0.47305660136044025
Iter 122, Training Accuracy: 0.96466666162014, Training Loss: 0.4819883909076452, Testing Accuracy: 0.960999995470047, Testing Loss: 0.5224017770960927
Iter 123, Training Accuracy: 0.9726666748523712, Training Loss: 0.39187120320275426, Testing Accuracy: 0.9713333427906037, Testing Loss: 0.39556883461773396
Iter 124, Training Accuracy: 0.9743333369493484, Training Loss: 0.35390948690474033, Testing Accuracy: 0.972333338856697, Testing Loss: 0.3684371206909418
Iter 125, Training Accuracy: 0.972333338856697, Training Loss: 0.371683957753703, Testing Accuracy: 0.978000009059906, Testing Loss: 0.3004482449032366
Iter 126, Training Accuracy: 0.9696666657924652, Training Loss: 0.3970966315828264, Testing Accuracy: 0.9690000057220459, Testing Loss: 0.41475488245487213
Iter 127, Training Accuracy: 0.9639999985694885, Training Loss: 0.4747174624353647, Testing Accuracy: 0.9683333277702332, Testing Loss: 0.41250899713486433
Iter 128, Training Accuracy: 0.9756666749715805, Training Loss: 0.3474892950616777, Testing Accuracy: 0.9736666679382324, Testing Loss: 0.3652293076738715
Iter 129, Training Accuracy: 0.9676666676998138, Training Loss: 0.45213642017915845, Testing Accuracy: 0.9703333348035812, Testing Loss: 0.4204614954069257
Iter 130, Training Accuracy: 0.9763333410024643, Training Loss: 0.3233071486465633, Testing Accuracy: 0.9743333399295807, Testing Loss: 0.3216089867055416
Iter 131, Training Accuracy: 0.9763333410024643, Training Loss: 0.30972810462117195, Testing Accuracy: 0.9740000069141388, Testing Loss: 0.3368825032375753
Iter 132, Training Accuracy: 0.9710000038146973, Training Loss: 0.3863456747494638, Testing Accuracy: 0.9706666678190231, Testing Loss: 0.3837262876331806
Iter 133, Training Accuracy: 0.9729999959468841, Training Loss: 0.35345962760038674, Testing Accuracy: 0.972000002861023, Testing Loss: 0.3653123234398663
Iter 134, Training Accuracy: 0.9780000030994416, Training Loss: 0.29345194436609745, Testing Accuracy: 0.9720000088214874, Testing Loss: 0.38211886677891016
Iter 135, Training Accuracy: 0.9730000019073486, Training Loss: 0.34737757919356227, Testing Accuracy: 0.9750000059604644, Testing Loss: 0.3280169051140547
Iter 136, Training Accuracy: 0.9726666688919068, Training Loss: 0.38239138200879097, Testing Accuracy: 0.9690000027418136, Testing Loss: 0.4266463427338749
Iter 137, Training Accuracy: 0.9636666685342788, Training Loss: 0.5067458311095834, Testing Accuracy: 0.9556666642427445, Testing Loss: 0.6094845253974199
Iter 138, Training Accuracy: 0.9746666669845581, Training Loss: 0.3312957864254713, Testing Accuracy: 0.9726666659116745, Testing Loss: 0.3489426365122199
Iter 139, Training Accuracy: 0.9680000066757202, Training Loss: 0.39658932480961084, Testing Accuracy: 0.9670000016689301, Testing Loss: 0.4188436036929488
